iter	RMSE
0	0.0008847756846
1	0.0008531251017
2	0.0008131180128
3	0.0007834786656
4	0.0007512124575
5	0.000724128558
6	0.0006972294837
7	0.0006801482933
8	0.0006582874516
9	0.0006399012994
10	0.0006158128222
11	0.0006030366807
12	0.0005839716477
13	0.0005699437104
14	0.0005583728343
15	0.0005477480979
16	0.0005358902344
17	0.0005255256258
18	0.0005154400949
19	0.0005044259299
20	0.0004965606
21	0.0004896631819
22	0.0004834098071
23	0.0004788830499
24	0.0004701376999
25	0.0004608784846
26	0.0004556477562
27	0.0004460869778
28	0.0004409983294
29	0.0004366590017
30	0.0004293338794
31	0.0004234750367
32	0.0004187773183
33	0.000414119434
34	0.0004052484273
35	0.0003989045613
36	0.000392988833
37	0.0003885706961
38	0.0003843104402
39	0.0003794539596
40	0.00037464662
41	0.0003690527832
42	0.0003648399206
43	0.000361506602
44	0.0003564556303
45	0.0003528812022
46	0.0003473512781
47	0.0003421800396
48	0.0003374601788
49	0.0003307588623
50	0.0003275337149
51	0.0003227395026
52	0.000317277049
53	0.0003124580648
54	0.0003088008492
55	0.0003045130782
56	0.0003004334846
57	0.0002952512783
58	0.0002910508153
59	0.0002878937334
60	0.0002834789386
61	0.0002794541556
62	0.0002751306688
63	0.0002713633825
64	0.0002683645949
65	0.0002650102282
66	0.0002610890867
67	0.0002570719806
68	0.0002534535582
69	0.0002504587418
70	0.0002473703785
71	0.000244674598
72	0.000241837641
73	0.0002389498021
74	0.0002358389271
75	0.0002328818016
76	0.0002298090467
77	0.000227221714
78	0.0002241481473
79	0.0002212555013
80	0.0002188750999
81	0.000215877344
82	0.000213316794
83	0.0002105957439
84	0.0002079484751
85	0.0002054903416
86	0.0002030592341
87	0.000200838069
88	0.000198655628
89	0.0001965326323
90	0.0001939537766
91	0.0001916015355
92	0.0001893108346
93	0.0001872366298
94	0.0001842695218
95	0.000182311891
96	0.000180235732
97	0.0001781698472
98	0.0001761222761
99	0.0001743645603
100	0.0001723824007
101	0.0001706242812
102	0.000169027497
103	0.0001672187045
104	0.0001657133259
105	0.0001641876479
106	0.0001621684949
107	0.0001606004484
108	0.0001588313661
109	0.0001571438583
110	0.000155961716
111	0.0001543084959
112	0.0001526772549
113	0.0001510330089
114	0.0001496485641
115	0.000148506079
116	0.0001469566131
117	0.0001454278349
118	0.0001445961543
119	0.0001435443696
120	0.0001421372805
121	0.0001404529124
122	0.0001389317565
123	0.0001379145891
124	0.000136651094
125	0.0001355189228
126	0.0001343880146
127	0.0001332748623
128	0.0001323234128
129	0.0001310745663
130	0.0001302995228
131	0.0001290656506
132	0.0001278533874
133	0.0001270521674
134	0.0001265350386
135	0.0001256448718
136	0.0001245829101
137	0.0001238973426
138	0.000122870525
139	0.0001219628881
140	0.0001201421425
141	0.0001192867715
142	0.0001182165304
143	0.0001175644936
144	0.0001162109476
145	0.0001151525684
146	0.0001140762803
147	0.000113189301
148	0.0001122248927
149	0.0001113565728
150	0.0001107129658
151	0.0001095362744
152	0.0001091326854
153	0.0001086436216
154	0.0001077581637
155	0.0001069100118
156	0.0001054689648
157	0.000104865488
158	0.0001041523932
159	0.0001035570362
160	0.0001029669187
161	0.0001020305889
162	0.0001012066174
163	0.0001002545914
164	9.973855157e-05
165	9.866840932e-05
166	9.791941948e-05
167	9.7087131e-05
168	9.638313988e-05
169	9.574624906e-05
170	9.422620988e-05
171	9.365695561e-05
172	9.2974501e-05
173	9.249513541e-05
174	9.209559048e-05
175	9.171717881e-05
176	9.111897638e-05
177	9.017490073e-05
178	8.958354863e-05
179	8.835324824e-05
180	8.773996655e-05
181	8.71926418e-05
182	8.666499998e-05
183	8.616778791e-05
184	8.553433449e-05
185	8.464079024e-05
186	8.403325178e-05
187	8.343925315e-05
188	8.301976584e-05
189	8.203147689e-05
190	8.146348589e-05
191	8.112043466e-05
192	8.045936783e-05
193	7.9791656e-05
194	7.930773113e-05
195	7.895274374e-05
196	7.844439695e-05
197	7.808972185e-05
198	7.761159893e-05
199	7.714160101e-05
200	7.669993069e-05
201	7.626166218e-05
202	7.576112581e-05
203	7.53977476e-05
204	7.477915933e-05
205	7.402973905e-05
206	7.362798065e-05
207	7.323894856e-05
208	7.286732373e-05
209	7.246192581e-05
210	7.220631096e-05
211	7.160628181e-05
212	7.053152315e-05
213	7.021754794e-05
214	6.992253787e-05
215	6.955230965e-05
216	6.912264513e-05
217	6.871408411e-05
218	6.842696915e-05
219	6.802676902e-05
220	6.732154779e-05
221	6.706101523e-05
222	6.688427455e-05
223	6.635635607e-05
224	6.614319286e-05
225	6.582209264e-05
226	6.555188736e-05
227	6.513023225e-05
228	6.491178424e-05
229	6.444141569e-05
230	6.416880568e-05
231	6.389000068e-05
232	6.339970164e-05
233	6.285555291e-05
234	6.257810233e-05
235	6.226481254e-05
236	6.189211469e-05
237	6.165065222e-05
238	6.117687208e-05
239	6.087219518e-05
240	6.043849737e-05
241	6.025069154e-05
242	6.01282707e-05
243	5.956576834e-05
244	5.906727334e-05
245	5.857826218e-05
246	5.839827161e-05
247	5.804973278e-05
248	5.791736245e-05
249	5.774208561e-05
250	5.760974857e-05
251	5.690070448e-05
252	5.679685535e-05
253	5.630514204e-05
254	5.60528686e-05
255	5.587270787e-05
256	5.560604907e-05
257	5.516762541e-05
258	5.493671858e-05
259	5.457877514e-05
260	5.433147363e-05
261	5.399528877e-05
262	5.364204604e-05
263	5.346547902e-05
264	5.33274012e-05
265	5.303982281e-05
266	5.287884983e-05
267	5.261045266e-05
268	5.248915964e-05
269	5.214986543e-05
270	5.192753958e-05
271	5.16343004e-05
272	5.130881127e-05
273	5.118907384e-05
274	5.103048924e-05
275	5.08221963e-05
276	5.055069377e-05
277	5.011546559e-05
278	4.983966385e-05
279	4.974386296e-05
280	4.933325909e-05
281	4.910465585e-05
282	4.843534135e-05
283	4.824280391e-05
284	4.790781954e-05
285	4.771680173e-05
286	4.744439481e-05
287	4.729525725e-05
288	4.709801753e-05
289	4.698658742e-05
290	4.667233957e-05
291	4.614855118e-05
292	4.603746142e-05
293	4.579426292e-05
294	4.567685352e-05
295	4.547336944e-05
296	4.522979653e-05
297	4.501873677e-05
298	4.474992069e-05
299	4.437341572e-05
300	4.404620906e-05
301	4.382996209e-05
302	4.357716481e-05
303	4.340089385e-05
304	4.311348351e-05
305	4.276543334e-05
306	4.259491901e-05
307	4.246591557e-05
308	4.231407851e-05
309	4.212760384e-05
310	4.180597684e-05
311	4.140173336e-05
312	4.128013895e-05
313	4.087710549e-05
314	4.053201451e-05
315	4.039683685e-05
316	4.030418789e-05
317	4.017280456e-05
318	4.000521789e-05
319	3.994420062e-05
320	3.984048189e-05
321	3.962932361e-05
322	3.95578809e-05
323	3.938990619e-05
324	3.895552717e-05
325	3.871182754e-05
326	3.84039921e-05
327	3.828334857e-05
328	3.801615078e-05
329	3.781323324e-05
330	3.766406218e-05
331	3.748727544e-05
332	3.706406429e-05
333	3.692495546e-05
334	3.670164578e-05
335	3.662399218e-05
336	3.646970227e-05
337	3.639867825e-05
338	3.616473069e-05
339	3.611082279e-05
340	3.597752571e-05
341	3.557564278e-05
342	3.525373526e-05
343	3.517144261e-05
344	3.510167673e-05
345	3.485514579e-05
346	3.460305498e-05
347	3.443666489e-05
348	3.438525497e-05
349	3.405264782e-05
350	3.39820472e-05
351	3.37871589e-05
352	3.364319694e-05
353	3.34476698e-05
354	3.334093266e-05
355	3.3244025e-05
356	3.312311132e-05
357	3.293257967e-05
358	3.284176059e-05
359	3.261687397e-05
360	3.238398265e-05
361	3.225073283e-05
362	3.210458391e-05
363	3.203658447e-05
364	3.186014633e-05
365	3.17084071e-05
366	3.160275386e-05
367	3.15296749e-05
368	3.140798046e-05
369	3.127679985e-05
370	3.118922978e-05
371	3.107215259e-05
372	3.090790969e-05
373	3.087090487e-05
374	3.074422045e-05
375	3.066267015e-05
376	3.044535228e-05
377	3.027534468e-05
378	3.006925171e-05
379	3.000517743e-05
380	2.976595022e-05
381	2.958413588e-05
382	2.946544871e-05
383	2.932231352e-05
384	2.913511222e-05
385	2.900094883e-05
386	2.887900462e-05
387	2.876727799e-05
388	2.862387959e-05
389	2.848879465e-05
390	2.832406875e-05
391	2.818213011e-05
392	2.807745225e-05
393	2.797428065e-05
394	2.791582597e-05
395	2.785147013e-05
396	2.769921495e-05
397	2.759473122e-05
398	2.748631032e-05
399	2.736903538e-05
